"AIRO_ID","Roll_No","Off_Name","Add_1","Add_2","Add_3","Add_4","County","Ethos","Island","DEIS","Gaeltacht","M_13_14","F_13_14","T_13_14","xcoord","ycoord","Long","Lat"
36,"18615N","S N CEATHARLACH","GREEN ROAD","CARLOW","","","Carlow","CHURCH OF IRELAND","N","N","N",73,59,132,271992,175585,-6.93185,52.8265
37,"19477J","HOLY FAMILY B N S","ASKEA","CARLOW","CO CARLOW","","Carlow","CATHOLIC","N","Y","N",385,0,385,273297,176670,-6.91224,52.836
38,"19478L","Holy Family Girls N S","ASKEA","CARLOW","CO CARLOW","","Carlow","CATHOLIC","N","Y","N",0,371,371,273325,176589,-6.91185,52.8353
39,"19784S","ST LASERIANS MXD NS","LEIGHLINBRIDGE","CO CARLOW","","","Carlow","CATHOLIC","N","N","N",95,83,178,269499,165370,-6.971,52.735
40,"19811S","GAELSCOIL EOGHAIN UÍ THUAIRISC","Garrán na Fuinseoige","Ceatharlach","","","Carlow","CATHOLIC","N","N","N",219,260,479,273395,175932,-6.91096,52.8294
41,"19958C","S.N. NAOMH FHIACH","GRAIGUECULLEN","CO CARLOW","","","Carlow","CATHOLIC","N","N","N",268,248,516,271106,176780,-6.94473,52.8373
42,"20295K","Carlow Educate Together NS","Bestfield","Athy Road","Carlow Town","Carlow","Carlow","MULTI DENOMINATIONAL","N","Y","N",99,77,176,270598,177131,-6.95219,52.8405
43,"01356U","KILNALECK MIXED N S","KILNALECK","CO CAVAN","","","Cavan","CATHOLIC","N","Y","N",40,31,71,244694,290228,-7.32065,53.8595
44,"05627W","BAILIEBORO MODEL N S","BAILIEBORO","CO CAVAN","","","Cavan","CHURCH OF IRELAND","N","N","N",52,37,89,267435,296887,-6.97357,53.9169
45,"06998Q","St Patrick's NS","Corlough","Belturbet","C/O Belturbet Post Office","Co. Cavan","Cavan","CATHOLIC","N","Y","N",25,19,44,213643,318831,-7.79134,54.1183
46,"08143P","S N MHUIRE","MUILEANN LARAINN","SWANLINBAR","CO CAVAN","","Cavan","CATHOLIC","N","Y","N",32,28,60,219258,326916,-7.70495,54.1908
47,"08453H","S N CRUABANAI","CRUABANAI","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",88,69,157,244571,301985,-7.32081,53.9652
48,"08490N","ST CLARES PRIMARY SCHOOL","CAVAN","CO CAVAN","","","Cavan","CATHOLIC","N","Y","N",115,384,499,242225,304903,-7.35615,53.9916
49,"08948L","MILLTOWN N S","BELTURBET","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",58,47,105,234408,312922,-7.47443,54.0642
50,"10146K","CORLISS N S","KILLESHANDRA","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",7,17,24,233039,302950,-7.49642,53.9747
51,"11205F","KILLESHANDRA National School ( C of I)","KILLESHANDRA","CO CAVAN","","","Cavan","CHURCH OF IRELAND","N","N","N",33,29,62,230978,307164,-7.52741,54.0127
52,"11409V","BALLYCONELL CENTRAL N S","BALLYCONNELL","CO CAVAN","","","Cavan","CHURCH OF IRELAND","N","N","N",19,11,30,227006,318767,-7.58697,54.1172
53,"11517B","CAVAN 1 N S","CAVAN","CO CAVAN","","","Cavan","CHURCH OF IRELAND","N","N","N",38,41,79,241842,304726,-7.36202,53.99
54,"11541V","DROMAILI S N","CAVAN","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",134,104,238,240443,306138,-7.38316,54.0028
55,"12099O","BILLIS N S","NEW INN","BALLYJAMESDUFF","CO CAVAN","","Cavan","CHURCH OF IRELAND","N","N","N",45,46,91,256245,293373,-7.14452,53.8867
56,"12312L","DARLEY N S","COOTEHILL","CO CAVAN","","","Cavan","CHURCH OF IRELAND","N","N","N",45,38,83,259843,314487,-7.08566,54.076
57,"12713G","CORRATOBER N S","ARVA","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",10,8,18,229273,294729,-7.55461,53.9011
58,"13203L","ST PATRICKS MXD N S","GOWNA","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",56,48,104,230665,291702,-7.53374,53.8738
59,"13271F","FAIRGREEN N S","BELTURBET","CO CAVAN","","","Cavan","CHURCH OF IRELAND","N","N","N",26,16,42,236445,316779,-7.44285,54.0987
60,"14073G","CASTLETARA N S","BALLYHAISE","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",73,48,121,246504,309267,-7.29024,54.0304
61,"14211P","S N LATHRACH 2","KINGSCOURT","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",66,54,120,274865,295421,-6.86086,53.9027
62,"14320U","CORLEA N S","KINGSCOURT","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",16,10,26,274039,300029,-6.87231,53.9442
63,"14336M","SEARCOG I N S","SHERCOCK","VIA DUNDALK","CO CAVAN","","Cavan","CATHOLIC","N","N","N",86,97,183,272663,305342,-6.892,53.9922
64,"14399N","KILLYGARRY N S","KILLYGARRY","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",95,95,190,245599,304329,-7.30479,53.9862
65,"14732U","SCOIL BHRIDE","MOUNTNUGENT","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",56,73,129,249231,285300,-7.25248,53.8149
66,"15120R","KILLYCONNAN N S","STRADONE","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",47,47,94,248761,301767,-7.257,53.9629
67,"15452T","KILDALLON N S","ARDLOUGHER","BELTURBET","CO CAVAN","","Cavan","CATHOLIC","N","N","N",25,27,52,229472,313032,-7.54981,54.0655
68,"15502I","KILLINKERE N S","VIRGINIA","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",91,95,186,261279,293362,-7.06796,53.886
69,"16057S","CONVENT OF MERCY N S","BELTURBET","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",34,116,150,236262,316964,-7.44563,54.1004
70,"16083T","VIRGINIA MXD N S","VIRGINIA","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",203,181,384,260905,287700,-7.07477,53.8352
71,"16093W","BALLYCONNELL MXD N S","BALLYCONNELL","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",70,63,133,227405,318357,-7.5809,54.1135
72,"16316Q","ST MARYS N S","ARVA","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",62,56,118,227583,296978,-7.58012,53.9214
73,"16390F","SCOIL BHRIDE","KILLSHANDRA","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",46,42,88,231118,306486,-7.52534,54.0066
74,"16520P","ST MARY'S N.S.","DRUNG","BALLYHAISE","CO CAVAN","","Cavan","CATHOLIC","N","N","N",24,32,56,250944,310589,-7.22226,54.0419
75,"16767D","CORONEA N S","ARVA","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",17,15,32,231340,298854,-7.52274,53.938
76,"16921K","S N BEAL ATHA NA NEACH","BALLINAGH","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",115,104,219,238579,298192,-7.41259,53.9316
77,"16959M","S N CORRABHA","GLANGEVLIN N S","CARRICK ON SHANNON","CO LEITRIM","","Cavan","CATHOLIC","N","N","N",12,11,23,204966,327372,-7.92391,54.1952
78,"17230L","SCOIL NAOMH BRID","CILL UACHTAIR,","AN CNOC RUA,","CO. AN CHABHAIN.","","Cavan","CATHOLIC","N","N","N",40,36,76,244914,315374,-7.3136,54.0855
79,"17240O","S N TAMHNACH DHUIBH","BAILIEBORO","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",51,38,89,261808,301526,-7.05827,53.9593
80,"17326B","S N NAOMH FEIDHLIM","CAVAN","CO CAVAN","","","Cavan","CATHOLIC","N","Y","N",224,3,227,241791,304810,-7.36278,53.9908
81,"17440W","S N NAOMH MAODHOG","CILL NA BHEART","BEAL ATHA CONAILL","CO CAVAN","","Cavan","CATHOLIC","N","N","N",50,29,79,223896,315804,-7.63477,54.0907
82,"17479D","SCOIL MHUIRE","LACKEN","BALLINAGH","CO CAVAN","","Cavan","CATHOLIC","N","Y","N",47,45,92,236935,296511,-7.43782,53.9166
83,"17531C","BAILE NA MONA","BAILIEBORO","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",59,51,110,268864,294673,-6.95232,53.8968
84,"17601U","S N DOIRE NA CEISE","AN MHUINCHILLE","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",60,85,145,262881,309410,-7.0403,54.03
85,"17625L","CNOC AN TEAMPAILL","VIRGINIA","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",97,75,172,260114,284158,-7.08748,53.8035
86,"17630E","S N MAODHOG","CNOC BRIGHDE","BAILIEBORO","CO CAVAN","","Cavan","CATHOLIC","N","N","N",24,22,46,265998,304733,-6.99375,53.9876
87,"17780A","BALLYHAISE N S","CAVAN","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",62,71,133,244623,310845,-7.31872,54.0448
88,"17990L","S N DROM CNAMH","DROM CNAMH","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",24,17,41,244417,305505,-7.32264,53.9968
89,"18059J","BAILIEBORO N S","BAILIEBORO","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",135,142,277,267409,296758,-6.974,53.9158
90,"18127A","S N MHUIRE","BELTURBET","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",74,0,74,236465,316694,-7.44256,54.098
91,"18340A","S N PADRAIG","LIOS BO DUIBHE","AN MHUINCHILLE","CO CAVAN","","Cavan","CATHOLIC","N","N","N",27,21,48,250734,313983,-7.2249,54.0724
92,"18346M","S N GREACH RATHAIN","BEAL TAIRBEIRT","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",30,31,61,230560,316646,-7.53283,54.0979
93,"18355N","KNOCKNAGILLA N S","AN SRAITH DOIMHIN","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",57,52,109,251287,298652,-7.21904,53.9346
94,"18393V","S N CILLIN","CROS RIABHACH","MULLACH","CEANNANUS MOR","CO NA MI","Cavan","CATHOLIC","N","N","N",44,27,71,265046,289851,-7.01142,53.854
95,"18518P","S N CORR LORGAN","CABHAN","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",56,40,96,242151,301420,-7.35776,53.9603
96,"18564W","S N LEITIR","CILL CATHLAIGH","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",84,92,176,264986,298015,-7.0106,53.9274
97,"18833A","S N LATHRACH","LATHRACH","SRAITH AN DOMHAIN","CO AN CHABHAIN","","Cavan","CATHOLIC","N","N","N",59,64,123,251480,305159,-7.215,53.9931
98,"18857O","S N CARRAIG A BRUIS","VIRGINIA","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",64,72,136,263800,284012,-7.03157,53.8017
99,"19202Q","DRUMKILLY NS","KILNALECK","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",58,67,125,243237,293637,-7.34232,53.8903
100,"19285A","KILL N S","COOTEHILL","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",29,35,64,257828,310006,-7.11729,54.0359
101,"19322D","KILMORE CENTRAL N S","KILMORE CENTRAL N S","KILMORE","CO CAVAN","","Cavan","CHURCH OF IRELAND","N","N","N",37,21,58,238064,302676,-7.41987,53.9719
102,"19326L","BUTLERSBRIDGE NS","CAVAN","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",93,93,186,240920,310927,-7.37524,54.0458
103,"19363R","MULLAHORAN CENTRAL N S","KILCOGY","VIA LONGFORD","CO CAVAN","","Cavan","CATHOLIC","N","Y","N",68,82,150,237295,287887,-7.43339,53.8391
104,"19378H","BALLYNARRY N S","BALLYHEELAN","KILNALECK","CO CAVAN","","Cavan","CATHOLIC","N","N","N",55,34,89,242963,287741,-7.34731,53.8374
105,"19418Q","CASTLERAHAN CENTRAL NS","CASTLERAHAN","BALLYJAMESDUFF","CO CAVAN","","Cavan","CATHOLIC","N","N","N",73,81,154,254065,286013,-7.17897,53.8208
106,"19432K","CROSSKEYS CENTRAL N S","CROSSKEYS","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",59,71,130,248382,296933,-7.26354,53.9195
107,"19527V","CABRA CENTRAL N S","CABRA","KINGSCOURT","CO CAVAN","","Cavan","CHURCH OF IRELAND","N","N","N",25,35,60,278127,297437,-6.81073,53.9204
108,"19568M","ST PATRICKS","BRUSKEY CARRIGANS PO","BALLINAGH","CO CAVAN","","Cavan","CATHOLIC","N","N","N",24,33,57,238996,293077,-7.40689,53.8856
109,"19596R","CROSSERLOUGH N S","CROSSERLOUGH","CO. CAVAN","","","Cavan","CATHOLIC","N","N","N",56,67,123,246884,292072,-7.28708,53.8759
110,"19608V","ST KILLIANS N S","MULLAGH","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",196,172,368,268884,285304,-6.95412,53.8127
111,"19679V","S N AODHAIN NAOFA","AN BABHUN BUI","BEAL TAIRBIRT","CO AN CHABHAIN","","Cavan","CATHOLIC","N","N","N",42,21,63,221077,318868,-7.67764,54.1184
112,"19871N","ST PATRICKS N S","KILLINAGH","BLACKLION  VIA SLIGO","CO CAVAN","","Cavan","CATHOLIC","N","N","N",34,37,71,205536,337352,-7.91499,54.2849
113,"19921C","DRUNG NO 2 NS","DRUNG","CO CAVAN","","","Cavan","CHURCH OF IRELAND","N","N","N",19,17,36,250303,310718,-7.23203,54.0431
114,"19983B","ST CLARES NS","BALLYJAMESDUFF","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",212,222,434,252725,290999,-7.19846,53.8657
115,"20026G","Gaelscoil Bhreifne","Halla na nGasóga","Bóthar an Iarnróid","An Cábhán","","Cavan","MULTI DENOMINATIONAL","N","N","N",18,10,28,241656,304884,-7.36483,53.9915
116,"20134J","ST MICHAELS N. S.","STRADONE","CAVAN","CO  CAVAN","","Cavan","CATHOLIC","N","N","N",36,30,66,254140,301451,-7.1751,53.9595
117,"20172R","ST JOSEPHS N S","KINGSCOURT","CO CAVAN","","","Cavan","CATHOLIC","N","N","N",217,179,396,278597,295309,-6.80412,53.9012
118,"20277I","St Michaels National School","Cootehill","Co Cavan","","","Cavan","CATHOLIC","N","Y","N",109,77,186,260627,314280,-7.07372,54.074
119,"02439G","S N MHUIRE","FEAKLE","CO CLARE","","","Clare","CATHOLIC","N","N","N",34,35,69,156382,186087,-8.64861,52.9239
120,"03898U","TOONAGH N S","TOONAGH","ENNIS","CO CLARE","","Clare","CATHOLIC","N","N","N",48,63,111,130426,182614,-9.03379,52.8899
121,"03928D","MULLACH N S","MULLACH","ENNIS","CO CLARE","","Clare","CATHOLIC","N","Y","N",27,31,58,104321,172978,-9.41874,52.7994
122,"04548V","SCOIL SEANAIN NAOFA","CLUAINLARA","CO AN CHLAIR","","","Clare","CATHOLIC","N","N","N",181,159,340,162600,163750,-8.5536,52.7236
123,"04919H","CRATLOE N S","CRATLOE","CO CLARE","","","Clare","CATHOLIC","N","N","N",124,147,271,148977,161133,-8.75482,52.699
124,"05253H","O CALLAGHANS MILLS N S","OCALLAGHANS MILLS","CO CLARE","","","Clare","CATHOLIC","N","N","N",25,35,60,154753,176784,-8.67154,52.8402
125,"07315N","HOLY FAMILY SNR","ENNIS","CO CLARE","","","Clare","CATHOLIC","N","Y","N",164,201,365,133925,177182,-8.9807,52.8416
126,"09390O","ROCKMOUNT MIXED N S","MILTOWN MALBAY","CO CLARE","","","Clare","CATHOLIC","N","N","N",28,21,49,109322,180570,-9.34671,52.8684
127,"09425H","RINEEN N S","MILTOWN MALBAY","CO CLARE","","","Clare","CATHOLIC","N","N","N",25,18,43,106561,183081,-9.38842,52.8905
128,"10568N","S N CUIBHREANN","CILL CHAOI","CO AN CHLAIR","","","Clare","CATHOLIC","N","N","N",11,9,20,91974,154947,-9.59582,52.6351
129,"10763L","BOSTON N S","TUBBER","GORT","CO GALWAY","","Clare","CATHOLIC","N","N","N",8,12,20,137472,198241,-8.93212,53.0312
130,"10886E","TUBBER N S","TUBBER","CO CLARE","","","Clare","CATHOLIC","N","N","N",9,11,20,140007,193609,-8.89348,52.9899
131,"11234M","CLOHANBEG N S","CREE","KILRUSH","CO. CLARE","","Clare","CATHOLIC","N","N","N",16,13,29,106196,168727,-9.38973,52.7615
132,"11714D","BANSHA N S","KILKEE","CO CLARE","","","Clare","CATHOLIC","N","N","N",34,22,56,92562,161860,-9.58939,52.6973
133,"11765U","DOONBEG N S","DOONBEG","CO CLARE","","","Clare","CATHOLIC","N","N","N",16,19,35,96773,165537,-9.52827,52.7311
134,"11990E","BODYKE N S","BODYKE","CO CLARE","","","Clare","CATHOLIC","N","N","N",14,10,24,159867,181450,-8.59622,52.8825
135,"12633I","COOLMEEN N S","KILMURRAY MCMAHON","KILRUSH","CO CLARE","","Clare","CATHOLIC","N","N","N",7,9,16,117983,157176,-9.21226,52.6596
136,"12848G","DOONAHA N S","KILKEE","CO CLARE","","","Clare","CATHOLIC","N","Y","N",6,9,15,88457,153667,-9.64732,52.6228
137,"13379C","S N PADRAIG NFA FANOIR","BALLYVAUGHAN","CO CLARE","","","Clare","CATHOLIC","N","N","N",11,9,20,114077,208117,-9.28343,53.1167
138,"13418J","BALLYEA MIXED N S","SN  BAILE AODHA","DARRAGH","ENNIS","CO CLARE","Clare","CATHOLIC","N","N","N",102,91,193,130579,170758,-9.02899,52.7834
139,"13478E","DROIMDIOGACH N S","KILLMURRY MC MAHON","CO CLARE","","","Clare","CATHOLIC","N","N","N",18,24,42,111316,157681,-9.31091,52.6631
140,"13625O","KILNAMONA N S","ENNIS","CO CLARE","","","Clare","CATHOLIC","N","N","N",66,49,115,127416,180168,-9.07796,52.8676
141,"13730L","CLOHANES N S","MULLACH","CO CLARE","","","Clare","CATHOLIC","N","N","N",17,24,41,100424,169538,-9.47546,52.7678
142,"13738E","BURRANE N S","KILRUSH","CO CLARE","","","Clare","CATHOLIC","N","N","N",32,38,70,108057,153546,-9.35792,52.6254
143,"13804O","S N NA CRANNAIGHE","CRANNACH","CILL ROIS","CO CLARE","","Clare","CATHOLIC","N","N","N",12,14,26,117269,160895,-9.22375,52.6929
144,"13826B","KILMIHIL N.S.","KILMIHIL","ENNIS","CO CLARE","","Clare","CATHOLIC","N","N","N",54,50,104,110920,164290,-9.31855,52.7224
145,"13870E","KILKISHEN N S","SN MUIRE NA D CHOMHAIRL","CILL  CHISIN","ENNIS","CO CLARE","Clare","CATHOLIC","N","N","N",44,60,104,149964,172877,-8.74201,52.8046
146,"13876Q","MOVEEN N S","KILKEE","CO CLARE","","","Clare","CATHOLIC","N","N","N",35,34,69,86047,155978,-9.68369,52.6431
147,"13942D","S N CILL MUIRE","INIS","CO CLARE","","","Clare","CATHOLIC","N","N","N",80,58,138,147218,169951,-8.78226,52.7781
148,"14111L","CROSS N S","KILRUSH","CO CLARE","","","Clare","CATHOLIC","N","N","N",12,13,25,79757,151179,-9.77484,52.5986
149,"14468G","KILMALEY N S","ENNIS","CO CLARE","","","Clare","CATHOLIC","N","N","N",61,64,125,125218,174911,-9.10939,52.82
150,"14571W","TOMGRANEY N S","TOMGRANEY","LIMERICK","","","Clare","CATHOLIC","N","N","N",46,48,94,163627,183100,-8.54055,52.8976
151,"14622N","EIDHNEACH N S","INIS","CO CLARE","","","Clare","CATHOLIC","N","N","N",81,56,137,120664,181338,-9.17849,52.8771
152,"14757N","S N MHAINISTIR CHUINCHE","QUIN","CO CLARE","","","Clare","CATHOLIC","N","N","N",131,141,272,142024,174341,-8.86001,52.817
153,"14830U","BAREFIELD MIXED N S","ENNIS","CO CLARE","","","Clare","CATHOLIC","N","N","N",205,179,384,136518,182572,-8.94327,52.8903
154,"15042A","ENNIS N S","ENNIS","CO CLARE","","","Clare","CATHOLIC","N","N","N",302,289,591,133520,177128,-8.9867,52.841
155,"15221A","ANNAGH N S","MILTOWN MALBAY","CO CLARE","","","Clare","CATHOLIC","N","Y","N",51,27,78,104696,175463,-9.4139,52.8218
156,"15279I","CLOONEY N S","CLOONEY NS","TULLA","ENNIS","CO CLARE","Clare","CATHOLIC","N","N","N",52,47,99,142037,180339,-8.86088,52.8709
157,"15301V","KILDYSART N S","ENNIS ROAD","KILDYSART","CO CLARE","","Clare","CATHOLIC","N","N","N",75,76,151,125446,159060,-9.1024,52.6776
158,"15350L","STONEHALL N S","NEWMARKET ON FERGUS","CO CLARE","","","Clare","CATHOLIC","N","N","N",55,55,110,138560,164136,-8.90947,52.7249
159,"15370R","KILLALOE BOYS N S","KILLALOE","CO CLARE","","","Clare","CATHOLIC","N","N","N",118,0,118,170056,172640,-8.44405,52.804
160,"15408Q","CONNOLLY N S","ENNIS","CO CLARE","","","Clare","CATHOLIC","N","N","N",22,24,46,120460,176113,-9.18025,52.8302
161,"15981A","LAKYLE N S","WHITEGATE VIA LIMERICK","CO CLARE","","","Clare","CATHOLIC","N","N","N",26,26,52,175710,189185,-8.36144,52.9529
162,"16186G","INCH N S","ENNIS","CO CLARE","","","Clare","CATHOLIC","N","N","N",52,58,110,128691,175123,-9.05792,52.8224
163,"16677C","BUNSCOIL NA MBRAITHRE","ENNIS","CO CLARE","","","Clare","CATHOLIC","N","N","N",350,296,646,134191,177899,-8.9769,52.8481
164,"16908S","SIXMILEBRIDGE N S","ENNIS","CO CLARE","","","Clare","CATHOLIC","N","N","N",265,227,492,147472,166073,-8.77787,52.7432
165,"16930L","SCOIL AN SRAITH  S N","TULACH BRACH","CILL ROIS","CO AN CHLAIR","","Clare","CATHOLIC","N","N","N",15,7,22,99067,162414,-9.49337,52.7035
166,"16946D","SN AN PHAIRTIN MIXED","PARTEEN","CO LIMERICK","","","Clare","CATHOLIC","N","N","N",183,185,368,158470,160579,-8.61432,52.6948
167,"17020A","QUILTY NS","QUILTY","ENNIS","CO CLARE","","Clare","CATHOLIC","N","Y","N",23,23,46,101958,174237,-9.45414,52.8103
